Urban_schemes_temperature_3
CAMS404_temperature,CAMS1052_temperature,CAMS695_temperature,CAMS53_temperature,CAMS409_temperature,CAMS8_temperature,CAMS416_temperature,CAMS1_temperature,CAMS603_temperature,CAMS403_temperature,CAMS167_temperature,CAMS1029_temperature,CAMS169_temperature,CAMS670_temperature,CAMS1020_temperature,CAMS1049_temperature
56.215850830078125,56.241241455078125,56.060760498046875,55.432403564453125,54.594818115234375,55.858673095703125,55.793243408203125,56.020294189453125,55.813751220703125,56.100860595703125,56.040008544921875,56.007110595703125,55.942779541015625,55.942779541015625,55.784454345703125,55.873748779296875
55.692962646484375,57.445709228515625,56.040374755859375,55.579254150390625,52.533660888671875,54.865509033203125,55.237091064453125,54.564727783203125,55.289581298828125,55.134490966796875,55.504730224609375,55.228912353515625,55.273406982421875,55.273406982421875,56.401336669921875,55.948089599609375
54.192474365234375,56.066986083984375,53.745880126953125,53.489349365234375,50.496185302734375,53.801361083984375,53.325653076171875,53.988433837890625,54.442779541015625,54.090850830078125,54.200469970703125,53.891204833984375,53.735870361328125,53.735870361328125,54.600799560546875,54.276641845703125
53.264923095703125,54.405670166015625,52.031097412109375,52.717010498046875,49.228607177734375,52.663787841796875,51.93072509765625,52.493927001953125,52.728485107421875,52.124969482421875,52.230377197265625,51.872222900390625,51.629638671875,51.629638671875,52.924346923828125,52.569610595703125
51.57598876953125,53.281585693359375,50.293365478515625,51.555328369140625,48.00732421875,51.448089599609375,51.052459716796875,50.60577392578125,50.873138427734375,50.263885498046875,50.33258056640625,50.42529296875,50.044342041015625,50.044342041015625,51.4150390625,50.804779052734375
50.690277099609375,52.731719970703125,49.402313232421875,51.55517578125,47.81622314453125,50.76812744140625,50.2607421875,49.340789794921875,49.70245361328125,49.291748046875,49.325592041015625,49.379791259765625,49.282073974609375,49.282073974609375,50.67364501953125,49.97467041015625
50.215057373046875,52.20953369140625,49.46026611328125,50.333953857421875,48.213775634765625,50.111053466796875,49.951568603515625,48.94195556640625,49.198822021484375,48.993865966796875,48.848052978515625,48.813873291015625,48.8046875,48.8046875,50.3330078125,49.480865478515625
49.814361572265625,51.621917724609375,49.384765625,49.620025634765625,48.300018310546875,49.530364990234375,50.470184326171875,49.035491943359375,49.281005859375,49.033447265625,48.92559814453125,49.14410400390625,49.000213623046875,49.000213623046875,50.564605712890625,49.44140625
49.179107666015625,50.839447021484375,49.23687744140625,49.278076171875,48.005096435546875,48.86041259765625,50.571136474609375,49.052947998046875,49.255462646484375,49.005340576171875,48.759521484375,48.98077392578125,49.047119140625,49.047119140625,50.6533203125,49.554290771484375
48.304901123046875,49.537353515625,49.40557861328125,48.71417236328125,47.320770263671875,47.521484375,50.026092529296875,48.462890625,49.26397705078125,48.19439697265625,48.26275634765625,48.454742431640625,48.623748779296875,48.623748779296875,49.009765625,49.450775146484375
47.064422607421875,48.220855712890625,48.659576416015625,48.302581787109375,46.429840087890625,46.01953125,49.169647216796875,46.58819580078125,48.45538330078125,46.3603515625,47.236083984375,47.14923095703125,47.419403076171875,47.419403076171875,47.463775634765625,48.25836181640625
45.932769775390625,46.87164306640625,47.922088623046875,47.57891845703125,46.15631103515625,44.95245361328125,48.042938232421875,45.154388427734375,47.07916259765625,45.288543701171875,45.740234375,45.68218994140625,46.185943603515625,46.185943603515625,46.782684326171875,47.510894775390625
